scenario,model,ensemble,warming_level,year
ssp119,EC-Earth3,r4i1p1f1,2,2039
ssp119,EC-Earth3,r4i1p1f1,2,2040
ssp119,EC-Earth3,r4i1p1f1,2,2041
ssp119,EC-Earth3,r4i1p1f1,2,2042
ssp119,EC-Earth3,r4i1p1f1,2,2043
ssp119,EC-Earth3,r4i1p1f1,2,2044
ssp119,EC-Earth3,r4i1p1f1,2,2045
ssp119,EC-Earth3,r4i1p1f1,2,2046
ssp119,EC-Earth3,r4i1p1f1,2,2047
ssp119,EC-Earth3,r4i1p1f1,2,2048
ssp119,EC-Earth3,r4i1p1f1,2,2049
ssp119,EC-Earth3,r4i1p1f1,2,2050
ssp119,EC-Earth3,r4i1p1f1,2,2051
ssp119,EC-Earth3,r4i1p1f1,2,2052
ssp119,EC-Earth3,r4i1p1f1,2,2053
ssp119,EC-Earth3,r4i1p1f1,2,2054
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1909
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1910
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1911
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1912
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1913
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1914
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1915
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1916
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1917
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1918
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1919
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1920
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1921
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1922
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1923
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1924
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1925
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1926
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1927
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1928
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1929
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1930
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1931
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1932
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1933
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1934
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1935
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1936
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1937
ssp119,EC-Earth3-Veg,r1i1p1f1,0.38,1938
